complex_name,confidence,label,rank_used,has_rank1
abl1_active_000191,-2.28,1,1,1
abl1_active_000192,-2.1,1,1,1
abl1_active_000193,-0.67,1,1,1
abl1_active_000194,-2.18,1,1,1
abl1_active_000195,-1.95,1,1,1
abl1_active_000196,-3.34,1,1,1
abl1_active_000197,-1.89,1,1,1
abl1_active_000198,-0.64,1,1,1
abl1_active_000199,0.67,1,1,1
abl1_active_000200,-0.55,1,1,1
abl1_active_000201,-0.6,1,1,1
abl1_active_000202,-0.72,1,1,1
abl1_active_000203,-1.85,1,1,1
abl1_active_000204,-1.58,1,1,1
abl1_active_000205,-2.01,1,1,1
abl1_active_000206,-1.51,1,1,1
abl1_active_000207,-2.46,1,1,1
abl1_active_000208,-2.2,1,1,1
abl1_active_000209,-1.91,1,1,1
abl1_active_000210,-1.9,1,1,1
abl1_active_000211,-0.29,1,1,1
abl1_active_000212,-1.17,1,1,1
abl1_active_000213,-1.2,1,1,1
abl1_active_000214,0.45,1,1,1
abl1_active_000215,0.43,1,1,1
abl1_active_000216,-1.06,1,1,1
abl1_active_000217,-1.31,1,1,1
abl1_active_000218,-1.19,1,1,1
abl1_active_000219,-2.5,1,1,1
abl1_active_000220,-2.49,1,1,1
abl1_active_000221,-0.21,1,1,1
abl1_active_000222,-0.92,1,1,1
abl1_active_000223,-1.23,1,1,1
abl1_active_000224,-1.13,1,1,1
abl1_active_000225,-0.47,1,1,1
abl1_active_000226,-0.43,1,1,1
abl1_active_000227,-2.81,1,1,1
abl1_active_000228,-0.41,1,1,1
abl1_active_000229,-0.19,1,1,1
abl1_active_000230,-0.02,1,1,1
abl1_active_000231,-2.1,1,1,1
abl1_active_000232,-1.16,1,1,1
abl1_active_000233,-0.76,1,1,1
abl1_active_000234,-0.62,1,1,1
abl1_active_000235,-0.95,1,1,1
abl1_active_000236,-1.76,1,1,1
abl1_active_000237,-1.64,1,1,1
abl1_active_000238,-0.88,1,1,1
abl1_active_000239,-1.49,1,1,1
abl1_active_000240,0.76,1,1,1
abl1_active_000241,0.58,1,1,1
abl1_active_000242,-0.38,1,1,1
abl1_active_000243,-1.17,1,1,1
abl1_active_000244,-0.99,1,1,1
abl1_active_000245,-1.37,1,1,1
abl1_active_000246,-0.78,1,1,1
abl1_active_000247,-0.22,1,1,1
abl1_active_000248,0.14,1,1,1
abl1_active_000249,0.12,1,1,1
abl1_active_000250,0.39,1,1,1
abl1_active_000251,0.01,1,1,1
abl1_active_000252,0.05,1,1,1
abl1_active_000253,-1.98,1,1,1
abl1_active_000254,-0.84,1,1,1
abl1_active_000255,-0.83,1,1,1
abl1_active_000256,-0.56,1,1,1
abl1_active_000257,-1.11,1,1,1
abl1_active_000258,0.08,1,1,1
abl1_active_000259,-2.85,1,1,1
abl1_active_000260,-0.23,1,1,1
abl1_active_000261,-0.14,1,1,1
abl1_active_000262,-0.29,1,1,1
abl1_active_000263,-0.88,1,1,1
abl1_active_000264,-0.12,1,1,1
abl1_active_000265,-0.07,1,1,1
abl1_active_000266,-0.89,1,1,1
abl1_active_000267,-1.17,1,1,1
abl1_active_000268,-1.58,1,1,1
abl1_active_000269,-0.06,1,1,1
abl1_active_000270,-1.29,1,1,1
abl1_active_000271,-1.94,1,1,1
abl1_active_000272,0.37,1,1,1
abl1_active_000273,-0.8,1,1,1
abl1_active_000274,-1.36,1,1,1
abl1_active_000275,-2.44,1,1,1
abl1_active_000276,-1.93,1,1,1
abl1_active_000277,-0.7,1,1,1
abl1_active_000278,-1.25,1,1,1
abl1_active_000279,-2.94,1,1,1
abl1_active_000280,-0.48,1,1,1
abl1_active_000281,-1.57,1,1,1
abl1_active_000282,-1.69,1,1,1
abl1_active_000283,-0.64,1,1,1
abl1_active_000284,-0.04,1,1,1
abl1_active_000285,-0.51,1,1,1
abl1_active_000286,0.66,1,1,1
abl1_active_000287,-2.39,1,1,1
abl1_active_000288,-2.16,1,1,1
abl1_active_000289,-2.25,1,1,1
abl1_active_000290,-1.26,1,1,1
abl1_active_000291,-1.48,1,1,1
abl1_active_000292,-2.23,1,1,1
abl1_active_000293,-2.89,1,1,1
abl1_active_000294,-3.69,1,1,1
abl1_active_000295,-1.16,1,1,1
