target,coverage_rate,fail_rate,skip_rate,retry_rate,ROC_AUC,LogAUC,BEDROC,EF_1pct,EF_5pct,EF_10pct,nEF_1pct,nEF_5pct,nEF_10pct,clash_rate_all,clash_rate_top1pct,pocket_in_rate_all,pocket_in_rate_top1pct,mean_COMdist,active_mean_COMdist,top1_mean_COMdist,COMdist2rate
jak2,0.9973305650304018,0.0007415097137772505,0.0019279252558208513,0.002669434969598102,0.8419262697491743,24.041837948092965,0.364969273410247,4.5368127643214144,7.041072050121824,5.810961026385863,0.08211416584843345,0.3179511605327276,0.5345512251539848,0.3962627910425627,0.014925373134328358,0.9491324336348806,1.0,3.0344224662418795,1.6730607925196979,1.8116650629436635,0.7450980392156863
kit,0.988122640640825,0.010496271061596538,0.001381088297578492,0.01187735935917503,0.6760159463288882,8.845870533338214,0.13520583167794953,3.1632445026940443,1.9806620564892625,1.9428345088418686,0.051384448551126324,0.05161379244680329,0.10475938987131873,0.6770094834729767,0.39814814814814814,0.600681336893472,0.9814814814814815,10.846733699661026,4.667984795006462,1.9343457472766006,0.3412698412698413
kpcb,0.9906511218653762,0.007479102507699076,0.001869775626924769,0.009348878134623845,0.42543217745582934,5.243337996653057,0.18262109244699334,10.071783055654024,3.1423963133640553,1.9740694789081887,0.25438740364113505,0.11275770070337134,0.10822994210090986,0.312472503299604,0.022222222222222223,0.8567971843378794,1.0,5.103742376286131,4.189707471125552,1.441133432221831,0.4959677419354839
mapk2,1.0,0.0,0.0,0.0,0.8335905381787876,29.55830295901183,0.45208248403510287,16.377893950709485,8.045778352219784,5.194174757281553,0.5073424333514021,0.370830439590515,0.46601941747572817,0.37286821705426354,0.03125,0.608062015503876,1.0,9.331135891141379,3.060138394467161,1.44844171319017,0.5825242718446602
met,0.996917016356941,0.002055322428706003,0.0010276612143530015,0.0030829836430590046,0.8619021297280091,26.382935390312472,0.39838302554478633,8.180608098640885,8.194615989220749,6.145961991915563,0.15324659984854158,0.378663999432671,0.5717735546572847,0.5887642373897405,0.09482758620689655,0.819816733750107,0.9137931034482759,6.3133269269339785,2.686110523264727,3.888947403443679,0.3319672131147541
mk01,0.9928676316341515,0.005663939584644431,0.0014684287812041115,0.0071323683658485425,0.7177215012778023,11.419867781163799,0.18262135972354143,5.001348920863309,3.300352186869751,2.1569159766526402,0.12017880293863441,0.1210711677299869,0.12854621962807114,0.6414936018460248,0.0425531914893617,0.6119152506817706,0.9787234042553191,10.365216304274073,2.318567209606328,1.7567877825870366,0.5683453237410072
mk10,0.9985507246376811,0.0002898550724637681,0.0011594202898550724,0.0014492753623188406,0.7438745391590674,13.205533032173403,0.18608527894097365,4.838709677419355,2.795698924731183,2.5806451612903225,0.1063449508489723,0.09451046972269384,0.17562724014336917,0.30826086956521737,0.0,0.8868115942028986,0.9855072463768116,4.318475477704823,1.6897021840343283,1.952832482236542,0.6881720430107527
mk14,1.0,0.0,0.0,0.0,0.7312852929388923,17.426059048816235,0.2810487490658601,11.45914789164548,5.003722750728402,3.5734834419645796,0.26268446203490375,0.21072225003833694,0.2859426046627311,0.4481484456582858,0.06970509383378017,0.3474977909872279,0.9946380697050938,18.41482829451108,11.936584682406762,3.0555349910140377,0.11912568306010929
plk1,0.9995735001421666,0.00014216661927779356,0.0002843332385555871,0.0004264998578333807,0.7509957842709696,20.824649348124648,0.32509264909322505,10.226624261699227,6.188269794721407,4.5767412023460405,0.20789747936667835,0.2730668313011267,0.39741568914956005,0.4489621836792721,0.014285714285714285,0.883565538811487,1.0,4.712265966210342,3.0989506481523694,1.9777685107966327,0.34838709677419355
rock1,0.9952887537993921,0.0034954407294832826,0.0012158054711246201,0.004711246200607902,0.8227767430830162,21.77560357058672,0.3262020459071193,8.349007314524556,5.41871921182266,4.433497536945812,0.23394205501779594,0.2325641690432979,0.3814997263273125,0.44832826747720367,0.1076923076923077,0.7480243161094224,1.0,1579.2015225035957,1.581062244671589,1.5192801534504006,0.812807881773399
src,1.0,0.0,0.0,0.0,0.8626636518233204,23.785253891978275,0.3312041808272369,7.819716435068471,6.135469818284491,5.186522262334536,0.16210945271723734,0.27028788517286795,0.46516914025939293,0.3772562168203409,0.20168067226890757,0.6675607711651299,0.988795518207283,6.9625478581173805,6.095423343223161,4.748712307646177,0.030084235860409144
tgfr1,0.9975440946639875,0.0010046885465505692,0.0014512167894619335,0.002455905336012503,0.8109324483222918,31.349456871898024,0.4741181115667332,22.315302491103203,8.183226359938994,5.301307511438739,0.6902846605969805,0.37806454525994704,0.4779230568265265,0.35878544317928107,0.07865168539325842,0.6566197812011609,1.0,8.154128824431846,2.6783392780422424,1.0150387837748678,0.5551601423487544
vgfr2,0.998069423529866,0.0010425112938723504,0.0008880651762616318,0.0019305764701339821,0.8591701769542232,27.763144155604298,0.410577137115241,11.773738946319591,7.7093797484120055,5.644943330427202,0.2642398095936606,0.35312524991642136,0.5161048144919113,0.6512606664349975,0.32170542635658916,0.43202440248658247,0.6744186046511628,10.061206262613686,6.4028742469272695,6.168836873933323,0.10161290322580645
wee1,0.9990582326165437,0.0001569612305760477,0.0007848061528802386,0.0009417673834562863,0.9314443515545783,36.769493067407836,0.5082559346124749,16.712249087591243,9.329885820195411,7.507642495938495,0.34529645893487326,0.43841504316817953,0.7230713884376105,0.4390205619212055,0.031746031746031744,0.9180662376393031,1.0,,,,
