ligand_id,label,score,has_rank1,n_ranks,rank_used
abl1_active_000194,1,-2.18,1,10,1
abl1_active_000195,1,-1.95,1,10,1
abl1_active_000196,1,-3.34,1,10,1
abl1_active_000197,1,-1.89,1,10,1
abl1_active_000198,1,-0.64,1,10,1
abl1_active_000199,1,0.67,1,10,1
abl1_active_000200,1,-0.55,1,10,1
abl1_active_000201,1,-0.6,1,10,1
abl1_active_000202,1,-0.72,1,10,1
abl1_active_000203,1,-1.85,1,10,1
abl1_active_000204,1,-1.58,1,10,1
abl1_active_000205,1,-2.01,1,10,1
abl1_active_000206,1,-1.51,1,10,1
abl1_active_000207,1,-2.46,1,10,1
abl1_active_000208,1,-2.2,1,10,1
abl1_active_000209,1,-1.91,1,10,1
abl1_active_000210,1,-1.9,1,10,1
abl1_active_000211,1,-0.29,1,10,1
abl1_active_000212,1,-1.17,1,10,1
abl1_active_000213,1,-1.2,1,10,1
abl1_active_000214,1,0.45,1,10,1
abl1_active_000215,1,0.43,1,10,1
abl1_active_000216,1,-1.06,1,10,1
abl1_active_000217,1,-1.31,1,10,1
abl1_active_000218,1,-1.19,1,10,1
abl1_active_000219,1,-2.5,1,10,1
abl1_active_000220,1,-2.49,1,10,1
abl1_active_000221,1,-0.21,1,10,1
abl1_active_000222,1,-0.92,1,10,1
abl1_active_000223,1,-1.23,1,10,1
abl1_active_000224,1,-1.13,1,10,1
abl1_active_000225,1,-0.47,1,10,1
abl1_active_000226,1,-0.43,1,10,1
abl1_active_000227,1,-2.81,1,10,1
abl1_active_000228,1,-0.41,1,10,1
abl1_active_000229,1,-0.19,1,10,1
abl1_active_000230,1,-0.02,1,10,1
abl1_active_000231,1,-2.1,1,10,1
abl1_active_000232,1,-1.16,1,10,1
abl1_active_000233,1,-0.76,1,10,1
abl1_active_000234,1,-0.62,1,10,1
abl1_active_000235,1,-0.95,1,10,1
abl1_active_000236,1,-1.76,1,10,1
abl1_active_000237,1,-1.64,1,10,1
abl1_active_000238,1,-0.88,1,10,1
abl1_active_000239,1,-1.49,1,10,1
abl1_active_000240,1,0.76,1,10,1
abl1_active_000241,1,0.58,1,10,1
abl1_active_000242,1,-0.38,1,10,1
abl1_active_000243,1,-1.17,1,10,1
abl1_active_000244,1,-0.99,1,10,1
abl1_active_000245,1,-1.37,1,10,1
abl1_active_000246,1,-0.78,1,10,1
abl1_active_000247,1,-0.22,1,10,1
abl1_active_000248,1,0.14,1,10,1
abl1_active_000249,1,0.12,1,10,1
abl1_active_000250,1,0.39,1,10,1
abl1_active_000251,1,0.01,1,10,1
abl1_active_000252,1,0.05,1,10,1
abl1_active_000253,1,-1.98,1,10,1
abl1_active_000254,1,-0.84,1,10,1
abl1_active_000255,1,-0.83,1,10,1
abl1_active_000256,1,-0.56,1,10,1
abl1_active_000257,1,-1.11,1,10,1
abl1_active_000258,1,0.08,1,10,1
abl1_active_000259,1,-2.85,1,10,1
abl1_active_000260,1,-0.23,1,10,1
abl1_active_000261,1,-0.14,1,10,1
abl1_active_000262,1,-0.29,1,10,1
abl1_active_000263,1,-0.88,1,10,1
abl1_active_000264,1,-0.12,1,10,1
abl1_active_000265,1,-0.07,1,10,1
abl1_active_000266,1,-0.89,1,10,1
abl1_active_000267,1,-1.17,1,10,1
abl1_active_000268,1,-1.58,1,10,1
abl1_active_000269,1,-0.06,1,10,1
abl1_active_000270,1,-1.29,1,10,1
abl1_active_000271,1,-1.94,1,10,1
abl1_active_000272,1,0.37,1,10,1
abl1_active_000273,1,-0.8,1,10,1
abl1_active_000274,1,-1.36,1,10,1
abl1_active_000275,1,-2.44,1,10,1
abl1_active_000276,1,-1.93,1,10,1
abl1_active_000277,1,-0.7,1,10,1
abl1_active_000278,1,-1.25,1,10,1
abl1_active_000279,1,-2.94,1,10,1
abl1_active_000280,1,-0.48,1,10,1
abl1_active_000281,1,-1.57,1,10,1
abl1_active_000282,1,-1.69,1,10,1
abl1_active_000283,1,-0.64,1,10,1
abl1_active_000284,1,-0.04,1,10,1
abl1_active_000285,1,-0.51,1,10,1
abl1_active_000286,1,0.66,1,10,1
abl1_active_000287,1,-2.39,1,10,1
abl1_active_000288,1,-2.16,1,10,1
abl1_active_000289,1,-2.25,1,10,1
abl1_active_000290,1,-1.26,1,10,1
abl1_active_000291,1,-1.48,1,10,1
abl1_active_000292,1,-2.23,1,10,1
abl1_active_000293,1,-2.89,1,10,1
abl1_active_000294,1,-3.69,1,10,1
abl1_active_000295,1,-1.16,1,10,1
abl1_decoy_000001,0,-0.49,1,10,1
abl1_decoy_000002,0,-0.83,1,10,1
abl1_decoy_000003,0,-1.09,1,10,1
abl1_decoy_000004,0,-0.07,1,10,1
abl1_decoy_000005,0,-0.61,1,10,1
abl1_decoy_000006,0,-0.71,1,10,1
abl1_decoy_000007,0,-2.84,1,10,1
abl1_decoy_000008,0,-0.05,1,10,1
abl1_decoy_000009,0,-0.95,1,10,1
abl1_decoy_000010,0,-2.47,1,10,1
abl1_decoy_000011,0,-0.77,1,10,1
abl1_decoy_000012,0,-1.07,1,10,1
abl1_decoy_000013,0,-0.51,1,10,1
abl1_decoy_000014,0,-1.02,1,10,1
abl1_decoy_000015,0,-0.4,1,10,1
abl1_decoy_000016,0,-2.34,1,10,1
abl1_decoy_000017,0,-0.38,1,10,1
abl1_decoy_000018,0,-2.69,1,10,1
abl1_decoy_000019,0,-2.19,1,10,1
abl1_decoy_000020,0,-2.03,1,10,1
abl1_decoy_000021,0,-0.23,1,10,1
abl1_decoy_000022,0,-0.71,1,10,1
abl1_decoy_000023,0,-2.38,1,10,1
abl1_decoy_000024,0,-3.65,1,10,1
abl1_decoy_000025,0,-2.42,1,10,1
abl1_decoy_000026,0,-3.61,1,10,1
abl1_decoy_000027,0,-1.5,1,10,1
abl1_decoy_000028,0,-1.21,1,10,1
abl1_decoy_000029,0,-1.13,1,10,1
abl1_decoy_000030,0,-3.06,1,10,1
abl1_decoy_000031,0,-3.64,1,10,1
abl1_decoy_000032,0,-1.68,1,10,1
abl1_decoy_000033,0,-1.34,1,10,1
abl1_decoy_000034,0,-3.26,1,10,1
abl1_decoy_000035,0,-2.01,1,10,1
abl1_decoy_000036,0,-2.14,1,10,1
abl1_decoy_000037,0,-1.29,1,10,1
abl1_decoy_000038,0,-2.29,1,10,1
abl1_decoy_000039,0,-2.88,1,10,1
abl1_decoy_000040,0,-3.05,1,10,1
abl1_decoy_000041,0,-1.66,1,10,1
abl1_decoy_000042,0,-1.63,1,10,1
abl1_decoy_000043,0,-1.26,1,10,1
abl1_decoy_000044,0,-2.45,1,10,1
abl1_decoy_000045,0,-1.46,1,10,1
abl1_decoy_000046,0,-2.96,1,10,1
abl1_decoy_000047,0,-1.65,1,10,1
abl1_decoy_000048,0,-2.14,1,10,1
abl1_decoy_000049,0,-2.08,1,10,1
abl1_decoy_000050,0,-3.65,1,10,1
abl1_decoy_000051,0,-1.55,1,10,1
abl1_decoy_000052,0,-1.62,1,10,1
abl1_decoy_000053,0,-2.01,1,10,1
abl1_decoy_000054,0,-4.76,1,10,1
abl1_decoy_000055,0,-2.95,1,10,1
abl1_decoy_000056,0,-2.96,1,10,1
abl1_decoy_000057,0,-1.91,1,10,1
abl1_decoy_000058,0,-2.22,1,10,1
abl1_decoy_000059,0,-2.09,1,10,1
abl1_decoy_000060,0,-3.45,1,10,1
abl1_decoy_000061,0,-2.03,1,10,1
abl1_decoy_000062,0,-1.56,1,10,1
abl1_decoy_000063,0,-0.66,1,10,1
abl1_decoy_000064,0,-1.77,1,10,1
abl1_decoy_000065,0,-1.71,1,10,1
abl1_decoy_000066,0,-1.3,1,10,1
abl1_decoy_000067,0,-2.65,1,10,1
abl1_decoy_000068,0,-2.46,1,10,1
abl1_decoy_000069,0,-0.84,1,10,1
abl1_decoy_000070,0,-2.32,1,10,1
abl1_decoy_000071,0,-2.37,1,10,1
abl1_decoy_000072,0,-2.85,1,10,1
abl1_decoy_000073,0,-2.45,1,10,1
abl1_decoy_000074,0,-1.69,1,10,1
abl1_decoy_000075,0,-3.07,1,10,1
abl1_decoy_000076,0,-2.37,1,10,1
abl1_decoy_000077,0,-2.75,1,10,1
abl1_decoy_000078,0,-1.68,1,10,1
abl1_decoy_000079,0,-2.48,1,10,1
abl1_decoy_000080,0,-2.48,1,10,1
abl1_decoy_000081,0,-2.13,1,10,1
abl1_decoy_000082,0,-2.59,1,10,1
abl1_decoy_000083,0,-2.44,1,10,1
abl1_decoy_000084,0,-2.14,1,10,1
abl1_decoy_000085,0,-3.13,1,10,1
abl1_decoy_000086,0,-2.0,1,10,1
abl1_decoy_000087,0,-2.23,1,10,1
abl1_decoy_000088,0,-1.61,1,10,1
abl1_decoy_000089,0,-1.87,1,10,1
abl1_decoy_000090,0,-2.15,1,10,1
abl1_decoy_000091,0,-2.32,1,10,1
abl1_decoy_000092,0,-3.18,1,10,1
abl1_decoy_000093,0,-2.76,1,10,1
abl1_decoy_000094,0,-2.42,1,10,1
abl1_decoy_000095,0,-2.52,1,10,1
abl1_decoy_000096,0,-3.37,1,10,1
abl1_decoy_000097,0,-3.25,1,10,1
abl1_decoy_000098,0,-1.61,1,10,1
abl1_decoy_000099,0,-1.48,1,10,1
abl1_decoy_000100,0,-1.37,1,10,1
abl1_decoy_000101,0,-1.54,1,10,1
abl1_decoy_000102,0,-0.86,1,10,1
abl1_decoy_000103,0,-2.15,1,10,1
abl1_decoy_000104,0,-1.55,1,10,1
abl1_decoy_000105,0,-2.38,1,10,1
abl1_decoy_000106,0,-0.94,1,10,1
abl1_decoy_000107,0,-1.18,1,10,1
abl1_decoy_000108,0,-2.67,1,10,1
abl1_decoy_000109,0,-3.0,1,10,1
abl1_decoy_000110,0,-2.53,1,10,1
abl1_decoy_000111,0,0.14,1,10,1
abl1_decoy_000112,0,-0.45,1,10,1
abl1_decoy_000113,0,-0.86,1,10,1
abl1_decoy_000114,0,-0.94,1,10,1
abl1_decoy_000115,0,-2.51,1,10,1
abl1_decoy_000116,0,-2.02,1,10,1
abl1_decoy_000117,0,-1.23,1,10,1
abl1_decoy_000118,0,-0.06,1,10,1
abl1_decoy_000119,0,-1.55,1,10,1
abl1_decoy_000120,0,0.05,1,10,1
abl1_decoy_000121,0,-1.58,1,10,1
abl1_decoy_000122,0,-2.61,1,10,1
abl1_decoy_000123,0,-1.86,1,10,1
abl1_decoy_000124,0,-1.9,1,10,1
abl1_decoy_000125,0,-1.37,1,10,1
abl1_decoy_000126,0,-1.92,1,10,1
abl1_decoy_000127,0,-1.18,1,10,1
abl1_decoy_000128,0,-2.04,1,10,1
abl1_decoy_000129,0,-1.93,1,10,1
abl1_decoy_000130,0,-1.38,1,10,1
abl1_decoy_000131,0,-1.42,1,10,1
abl1_decoy_000132,0,-1.44,1,10,1
abl1_decoy_000133,0,-1.6,1,10,1
abl1_decoy_000134,0,-1.94,1,10,1
abl1_decoy_000135,0,-1.94,1,10,1
abl1_decoy_000136,0,-0.9,1,10,1
abl1_decoy_000137,0,-1.59,1,10,1
abl1_decoy_000138,0,-2.09,1,10,1
abl1_decoy_000139,0,-0.48,1,10,1
abl1_decoy_000140,0,-1.23,1,10,1
abl1_decoy_000141,0,-1.99,1,10,1
abl1_decoy_000142,0,-1.51,1,10,1
abl1_decoy_000143,0,-0.02,1,10,1
abl1_decoy_000144,0,-2.15,1,10,1
abl1_decoy_000145,0,-1.26,1,10,1
abl1_decoy_000146,0,-1.27,1,10,1
abl1_decoy_000147,0,-0.89,1,10,1
abl1_decoy_000148,0,-1.79,1,10,1
abl1_decoy_000149,0,-1.9,1,10,1
abl1_decoy_000150,0,-1.66,1,10,1
abl1_decoy_000151,0,-2.21,1,10,1
abl1_decoy_000152,0,-2.0,1,10,1
abl1_decoy_000153,0,-0.47,1,10,1
abl1_decoy_000154,0,-0.25,1,10,1
abl1_decoy_000155,0,-0.33,1,10,1
abl1_decoy_000156,0,-1.4,1,10,1
abl1_decoy_000157,0,-0.43,1,10,1
abl1_decoy_000158,0,-0.9,1,10,1
abl1_decoy_000159,0,0.03,1,10,1
abl1_decoy_000160,0,0.78,1,10,1
abl1_decoy_000161,0,-1.53,1,10,1
abl1_decoy_000162,0,0.33,1,10,1
abl1_decoy_000163,0,-1.35,1,10,1
abl1_decoy_000164,0,-0.29,1,10,1
abl1_decoy_000165,0,-0.85,1,10,1
abl1_decoy_000166,0,0.15,1,10,1
abl1_decoy_000167,0,-2.12,1,10,1
abl1_decoy_000168,0,-1.17,1,10,1
abl1_decoy_000169,0,-0.1,1,10,1
abl1_decoy_000170,0,-2.13,1,10,1
abl1_decoy_000171,0,-0.32,1,10,1
abl1_decoy_000172,0,0.14,1,10,1
abl1_decoy_000173,0,0.48,1,10,1
abl1_decoy_000174,0,-0.25,1,10,1
abl1_decoy_000175,0,0.03,1,10,1
abl1_decoy_000176,0,-0.26,1,10,1
abl1_decoy_000177,0,-0.47,1,10,1
abl1_decoy_000178,0,-0.77,1,10,1
abl1_decoy_000179,0,-0.98,1,10,1
abl1_decoy_000180,0,-0.7,1,10,1
abl1_decoy_000181,0,-1.5,1,10,1
abl1_decoy_000182,0,0.0,1,10,1
abl1_decoy_000183,0,-0.53,1,10,1
abl1_decoy_000184,0,-1.02,1,10,1
abl1_decoy_000185,0,-0.51,1,10,1
abl1_decoy_000186,0,-0.26,1,10,1
abl1_decoy_000187,0,0.34,1,10,1
abl1_decoy_000188,0,0.17,1,10,1
abl1_decoy_000189,0,-0.36,1,10,1
abl1_decoy_000190,0,-1.02,1,10,1
abl1_decoy_000191,0,-0.47,1,10,1
abl1_decoy_000192,0,-0.62,1,10,1
abl1_decoy_000193,0,-0.57,1,10,1
abl1_decoy_000194,0,-1.75,1,10,1
abl1_decoy_000195,0,-0.57,1,10,1
abl1_decoy_000196,0,-0.66,1,10,1
abl1_decoy_000197,0,0.34,1,10,1
abl1_decoy_000198,0,0.01,1,10,1
abl1_decoy_000199,0,-3.19,1,10,1
abl1_decoy_000200,0,-1.6,1,10,1
abl1_decoy_000201,0,-1.24,1,10,1
abl1_decoy_000202,0,0.19,1,10,1
abl1_decoy_000203,0,-0.26,1,10,1
abl1_decoy_000204,0,-0.76,1,10,1
abl1_decoy_000205,0,-1.8,1,10,1
abl1_decoy_000206,0,-1.95,1,10,1
abl1_decoy_000207,0,-0.96,1,10,1
abl1_decoy_000208,0,-1.92,1,10,1
abl1_decoy_000209,0,0.09,1,10,1
abl1_decoy_000210,0,-0.19,1,10,1
abl1_decoy_000211,0,-0.1,1,10,1
abl1_decoy_000212,0,-0.07,1,10,1
abl1_decoy_000213,0,-1.28,1,10,1
abl1_decoy_000214,0,-2.09,1,10,1
abl1_decoy_000215,0,-1.61,1,10,1
abl1_decoy_000216,0,-1.6,1,10,1
abl1_decoy_000217,0,-0.62,1,10,1
abl1_decoy_000218,0,-1.77,1,10,1
abl1_decoy_000219,0,-2.46,1,10,1
abl1_decoy_000220,0,-0.9,1,10,1
abl1_decoy_000221,0,-1.26,1,10,1
abl1_decoy_000222,0,-0.94,1,10,1
abl1_decoy_000223,0,-3.07,1,10,1
abl1_decoy_000224,0,-3.04,1,10,1
abl1_decoy_000225,0,-1.1,1,10,1
abl1_decoy_000226,0,-0.06,1,10,1
abl1_decoy_000227,0,-0.12,1,10,1
abl1_decoy_000228,0,-0.86,1,10,1
abl1_decoy_000229,0,-1.36,1,10,1
abl1_decoy_000230,0,-0.01,1,10,1
abl1_decoy_000231,0,-0.06,1,10,1
abl1_decoy_000232,0,-0.08,1,10,1
abl1_decoy_000233,0,-0.68,1,10,1
abl1_decoy_000234,0,-2.34,1,10,1
abl1_decoy_000235,0,-1.39,1,10,1
abl1_decoy_000236,0,0.21,1,10,1
abl1_decoy_000237,0,-0.21,1,10,1
abl1_decoy_000238,0,-0.29,1,10,1
abl1_decoy_000239,0,-0.48,1,10,1
abl1_decoy_000240,0,-0.8,1,10,1
abl1_decoy_000241,0,-1.04,1,10,1
abl1_decoy_000242,0,-2.94,1,10,1
abl1_decoy_000243,0,-0.27,1,10,1
abl1_decoy_000244,0,-0.49,1,10,1
abl1_decoy_000245,0,-1.7,1,10,1
abl1_decoy_000246,0,-2.22,1,10,1
abl1_decoy_000247,0,-1.23,1,10,1
abl1_decoy_000248,0,-1.76,1,10,1
abl1_decoy_000249,0,-0.59,1,10,1
abl1_decoy_000250,0,-1.27,1,10,1
abl1_decoy_000251,0,0.34,1,10,1
abl1_decoy_000252,0,-0.31,1,10,1
abl1_decoy_000253,0,-1.45,1,10,1
abl1_decoy_000254,0,0.29,1,10,1
abl1_decoy_000255,0,0.95,1,10,1
abl1_decoy_000256,0,0.36,1,10,1
abl1_decoy_000257,0,-1.83,1,10,1
abl1_decoy_000258,0,-1.79,1,10,1
abl1_decoy_000259,0,-1.85,1,10,1
abl1_decoy_000260,0,-3.65,1,10,1
abl1_decoy_000261,0,-1.62,1,10,1
abl1_decoy_000262,0,-3.74,1,10,1
abl1_decoy_000263,0,0.51,1,10,1
abl1_decoy_000264,0,-2.91,1,10,1
abl1_decoy_000265,0,-2.61,1,10,1
abl1_decoy_000266,0,-1.33,1,10,1
abl1_decoy_000267,0,-1.41,1,10,1
abl1_decoy_000268,0,-1.15,1,10,1
abl1_decoy_000269,0,-1.26,1,10,1
abl1_decoy_000270,0,-0.57,1,10,1
abl1_decoy_000271,0,-0.79,1,10,1
abl1_decoy_000272,0,-1.52,1,10,1
abl1_decoy_000273,0,0.33,1,10,1
abl1_decoy_000274,0,0.16,1,10,1
abl1_decoy_000275,0,-1.4,1,10,1
abl1_decoy_000276,0,-0.38,1,10,1
abl1_decoy_000277,0,-0.0,1,10,1
abl1_decoy_000278,0,-2.4,1,10,1
abl1_decoy_000279,0,-1.67,1,10,1
abl1_decoy_000280,0,-1.19,1,10,1
abl1_decoy_000281,0,0.16,1,10,1
abl1_decoy_000282,0,-0.59,1,10,1
abl1_decoy_000283,0,-1.58,1,10,1
abl1_decoy_000284,0,-0.92,1,10,1
abl1_decoy_000285,0,-1.21,1,10,1
abl1_decoy_000286,0,-1.43,1,10,1
abl1_decoy_000287,0,-0.53,1,10,1
abl1_decoy_000288,0,-0.77,1,10,1
abl1_decoy_000289,0,-1.47,1,10,1
abl1_decoy_000290,0,-1.5,1,10,1
abl1_decoy_000291,0,-1.35,1,10,1
abl1_decoy_000292,0,-0.35,1,10,1
abl1_decoy_000293,0,-0.17,1,10,1
abl1_decoy_000294,0,-2.05,1,10,1
abl1_decoy_000295,0,-1.46,1,10,1
abl1_decoy_000296,0,-1.03,1,10,1
abl1_decoy_000297,0,-1.59,1,10,1
abl1_decoy_000298,0,-1.0,1,10,1
abl1_decoy_000299,0,-0.05,1,10,1
abl1_decoy_000300,0,-1.24,1,10,1
abl1_decoy_000301,0,0.09,1,10,1
abl1_decoy_000302,0,-1.74,1,10,1
abl1_decoy_000303,0,-1.41,1,10,1
abl1_decoy_000304,0,-0.42,1,10,1
abl1_decoy_000305,0,-1.55,1,10,1
abl1_decoy_000306,0,-1.24,1,10,1
abl1_decoy_000307,0,-1.33,1,10,1
abl1_decoy_000308,0,-0.03,1,10,1
abl1_decoy_000309,0,-0.82,1,10,1
abl1_decoy_000310,0,-2.19,1,10,1
abl1_decoy_000311,0,-1.82,1,10,1
abl1_decoy_000312,0,-1.15,1,10,1
abl1_decoy_000313,0,-3.02,1,10,1
