complex_name,protein_path,protein_sequence,ligand_description
wee1_decoy_000019,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(S(=O)(=O)N([H])N([H])C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2c1OC([H])([H])C([H])([H])O2
wee1_decoy_000020,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc2c([H])c([H])c([H])c([H])c2c1C(=O)N([H])/N=C(/c1c([H])c([H])c(N([H])C(=O)c2noc(C([H])([H])[H])c2[H])c([H])c1[H])C([H])([H])[H]
wee1_decoy_000021,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C2C(C#N)=C(N([H])[H])C(C#N)(C#N)[C@]([H])(c3c([H])c([H])c([H])c([H])c3C(F)(F)F)[C@@]2([H])C([H])([H])N(C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H]
wee1_decoy_000022,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(N([H])C(=O)N([H])c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c([H])c4OC([H])([H])[H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
wee1_decoy_000023,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c2c(c1[H])O[C@]([H])(C([H])([H])[H])C(=O)N2C([H])([H])C(=O)N([H])N([H])C(=O)c1sc2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
wee1_decoy_000024,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N3c4c([H])c([H])c([H])c([H])c4C([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c43)n2N([H])[H])c1[H]
wee1_decoy_000025,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c2c(c1[H])OC([H])([H])[C@@]([H])(C(=O)N([H])N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])c1nc3c([H])c([H])c([H])c([H])c3s1)O2
wee1_decoy_000026,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([C@@]2([H])C(C#N)(C#N)C(N([H])[H])=C(C#N)[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]2(C#N)C(=O)OC([H])([H])C([H])([H])[H])c([H])c1[H]
wee1_decoy_000027,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nc(N2C([H])([H])[C@@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(=O)N([H])N([H])C(=O)C([H])([H])[C@]12C([H])([H])[C@@]3([H])C([H])([H])[C@]([H])(C([H])([H])[C@]([H])(C3([H])[H])C1([H])[H])C2([H])[H]
wee1_decoy_000028,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c(C#N)c(N2C([H])([H])C([H])([H])[N+]([H])([C@]([H])(C(=O)[O-])c3c([H])n([H])c4c([H])c(Cl)c([H])c([H])c34)C([H])([H])C2([H])[H])nc2c1C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
wee1_decoy_000029,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)c1nnc([C@@]2([H])C([H])([H])N(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2([H])[H])s1
wee1_decoy_000030,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]/C(=C1/SC(N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])=NC1=O)c1oc(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c1[H]
wee1_decoy_000031,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nn(C2([H])C([H])([H])C([H])([H])N(C(=O)c3c(C([H])([H])[H])c4c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c4n3[H])C([H])([H])C2([H])[H])c(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])c1[H]
wee1_decoy_000032,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([C@]2([H])C(C#N)=C(N([H])[H])Oc3c([H])c(OC(=O)[C@]4([H])Oc5c([H])c([H])c([H])c([H])c5OC4([H])[H])c([H])c([H])c32)c(F)c1[H]
wee1_decoy_000033,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C(C([H])(C([H])([H])[H])C([H])([H])[H])N=N[C@]1([H])[C@@]1([H])N([H])N([H])[C@@]2([H])SC(C([H])([H])Oc3c([H])c([H])c(Br)c([H])c3[H])=NN21
wee1_decoy_000034,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C(c2c([H])c([H])c(Cl)c([H])c2[H])N=N[C@]1([H])C(=O)N([H])/N=C(\[H])[C@]1([H])[C@]([H])(C([H])([H])[H])N(c2c([H])c([H])c([H])c([H])c2[H])N([H])[C@]1([H])C([H])([H])[H]
wee1_decoy_000035,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C(c2c([H])c([H])c(Cl)c([H])c2[H])N=N[C@]1([H])C(=O)N([H])/N=C(\[H])[C@@]1([H])[C@]([H])(C([H])([H])[H])N(c2c([H])c([H])c([H])c([H])c2[H])N([H])[C@]1([H])C([H])([H])[H]
wee1_decoy_000036,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc([C@]2([H])N([H])c3c([H])c(C(=O)N([H])c4nc5c([H])c([H])c([H])c([H])c5s4)nn3[C@]([H])(C(F)(F)F)C2([H])[H])c([H])c1[H]
wee1_decoy_000037,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c(OC([H])([H])[H])c(F)c1[H]
wee1_decoy_000038,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc(C([H])([H])c2nnc(N([H])C(=O)[C@]3(C([H])([H])[H])Oc4c([H])c([H])c(Cl)c([H])c4N([H])C3=O)s2)c([H])c1[H]
wee1_decoy_000039,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)N([H])C([H])([H])C(=O)N([H])c1c([H])c([H])c2nc3n(c(=O)c2c1[H])C([H])([H])C([H])([H])C3([H])[H]
wee1_decoy_000040,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc(N([H])C(=O)c2c([H])c([H])c(N3N=C(C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c2[H])nc1-c1c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c1[H]
wee1_decoy_000041,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1N([H])C(=O)C([H])([H])n1c(=O)c([H])nc2c([H])c(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c21
wee1_decoy_000042,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc(-c2nc(N([H])C(=O)[C@]3([H])C([H])([H])N(C(=O)N([H])C([H])([H])c4sc([H])c([H])c4[H])C([H])([H])C([H])([H])C3([H])[H])sc2[H])c([H])c1[H]
wee1_decoy_000043,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc([C@@]2([H])N([H])c3c([H])c(C(=O)N([H])c4c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])nn3[C@@]([H])(C(F)(F)F)C2([H])[H])c([H])c1[H]
wee1_decoy_000044,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C#N)c([H])c([C@]2([H])C(C(=O)N([H])c3c([H])c(OC([H])([H])[H])c([H])c([H])c3OC([H])([H])[H])=C(C([H])([H])[H])N(C([H])([H])[H])C(=S)N2[H])c1[H]
wee1_decoy_000045,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([S@@](=O)(=NS(=O)(=O)N([H])C(=O)N([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])C([H])([H])[H])c([H])c1[H]
wee1_decoy_000046,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([S@](=O)(=NS(=O)(=O)N([H])C(=O)N([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])C([H])([H])[H])c([H])c1[H]
wee1_decoy_000047,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(-c2nn([H])c3c2[C@@]([H])(c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2Br)C(C#N)=C(N([H])[H])O3)c([H])c1[H]
wee1_decoy_000048,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]OC1=Nc2c(C([H])([H])[H])c(-c3c([H])c([H])c(Cl)c([H])c3[H])nn2[C@@]([H])(C(=O)N([H])c2c([H])c([H])c(C(=O)C([H])([H])[H])c([H])c2[H])C1([H])[H]
wee1_decoy_000049,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(-c2nn3c(c2C([H])([H])[H])N([H])C(=O)C([H])([H])[C@]3([H])C(=O)N([H])c2c([H])c([H])c(C(=O)C([H])([H])[H])c([H])c2[H])c([H])c([H])c1Cl
wee1_decoy_000050,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)c1nnc([C@]2([H])N(C(=O)N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])s1
wee1_decoy_000051,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])c2nnc(C(=O)N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])s2)c([H])c(C([H])([H])[H])c1[H]
wee1_decoy_000052,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])C(=O)C([H])([H])N2C(=O)N([H])[C@@]([H])(c3c([H])c([H])c(SC([H])([H])[H])c([H])c3[H])C3=C2C([H])([H])OC3=O)c([H])c([H])c1Cl
wee1_decoy_000053,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nc(Cl)c(C(=O)N([H])c2sc(C(=O)N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c(C([H])([H])[H])c2C(=O)OC([H])([H])[H])c([H])c1[H]
wee1_decoy_000054,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(N([H])C(=S)N([H])C(=O)c2c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([N+](=O)[O-])c2[H])c(Br)c1[H]
wee1_decoy_000055,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)[C@]2([H])Sc3nnc(C([H])([H])C([H])([H])[H])n3N([H])[C@@]2([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H]
wee1_decoy_000056,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)[C@@]2([H])Sc3nnc(C([H])([H])C([H])([H])[H])n3N([H])[C@]2([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H]
wee1_decoy_000057,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(OC([H])([H])c2nnc3n2N([H])[C@@]([H])(c2c([H])c([H])c(F)c([H])c2[H])[C@]([H])(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])S3)c([H])c1[H]
wee1_decoy_000058,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc(N([H])C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])nc1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c([H])c([H])c2F)C([H])([H])C1([H])[H]
wee1_decoy_000059,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c2c(C([H])([H])C(=O)/N=c3\sc4c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c4n3C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])c([H])c2c1[H]
wee1_decoy_000060,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])C(=O)C([H])([H])N2C(=O)N([H])[C@@](c3oc4c([H])c([H])c([H])c([H])c4c3[H])(C([H])([H])[H])C2=O)c([H])c1[H]
wee1_decoy_000061,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc([C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])C(=O)C([H])([H])N2C(=O)N([H])[C@@](c3oc4c([H])c([H])c([H])c([H])c4c3[H])(C([H])([H])[H])C2=O)c([H])c1[H]
wee1_decoy_000062,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c(Br)c(C([H])([H])Sc2nnc(C([H])([H])Oc3c([H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])n2N([H])[H])c([H])c2c1OC([H])([H])O2
wee1_decoy_000063,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c2c(c1[H])N(C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)[C@]21C(C(=O)OC([H])([H])C([H])([H])[H])=C(N([H])[H])OC2=C1C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C2([H])[H]
wee1_decoy_000064,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])C([H])([H])C(=O)N([H])/N=C(/c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1I
wee1_decoy_000065,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]N([H])C(=O)[C@]1(C(=O)OC([H])([H])C([H])([H])[H])O[C@@]12C([H])([H])C([H])([H])[C@]1([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])([H])[C@@]12C([H])([H])[H]
wee1_decoy_000066,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2C([H])([H])[H])N([H])C(=O)N2C([H])([H])[C@@]3([H])c4c([H])c([H])c([H])c(=O)n4C([H])([H])[C@@]([H])(C2([H])[H])C3([H])[H])c([H])c1[H]
wee1_decoy_000067,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C([H])([H])[H])c(-n2c(S[C@]([H])(C(=O)N([H])C(=O)N([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])[H])nnc2-c2c([H])c([H])c(Cl)c([H])c2[H])c1[H]
wee1_decoy_000068,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c([C@]2([H])C3=C(N=C(C([H])([H])[H])[C@]2([H])C(=O)N([H])c2nc([H])c(C([H])([H])[H])c([H])c2[H])C([H])([H])[C@@]([H])(c2oc([H])c([H])c2[H])C([H])([H])C3=O)c([H])c1[H]
wee1_decoy_000069,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])C(=O)c2c([H])c(-c3c(C([H])([H])[H])sc(C([H])([H])[H])c3[H])nc3c2c([H])nn3C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)N([H])C1([H])C([H])([H])C1([H])[H]
wee1_decoy_000070,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(O[C@@]([H])(C(=O)N([H])N([H])C(=O)c2nn(-c3c([H])c([H])c(F)c([H])c3[H])c3c2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[H])c(F)c1[H]
wee1_decoy_000071,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([C@@]([H])(N([H])C(=O)c2c([H])c([H])c(N([H])S(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c3[H])c([H])c2[H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2
